product,total_sales,date,region
pink morsel,1695.0,27/02/2018,south
pink morsel,1578.0,27/02/2018,east
pink morsel,1620.0,27/02/2018,west
pink morsel,1767.0,28/02/2018,north
pink morsel,1593.0,28/02/2018,south
pink morsel,1743.0,28/02/2018,east
pink morsel,1557.0,28/02/2018,west
pink morsel,1668.0,01/03/2018,north
pink morsel,1782.0,01/03/2018,south
pink morsel,1527.0,01/03/2018,east
pink morsel,1668.0,01/03/2018,west
pink morsel,1635.0,02/03/2018,north
pink morsel,1569.0,02/03/2018,south
pink morsel,1746.0,02/03/2018,east
pink morsel,1773.0,02/03/2018,west
pink morsel,1539.0,03/03/2018,north
pink morsel,1500.0,03/03/2018,south
pink morsel,1569.0,03/03/2018,east
pink morsel,1557.0,03/03/2018,west
pink morsel,1773.0,04/03/2018,north
pink morsel,1644.0,04/03/2018,south
pink morsel,1614.0,04/03/2018,east
pink morsel,1674.0,04/03/2018,west
pink morsel,1533.0,05/03/2018,north
pink morsel,1653.0,05/03/2018,south
pink morsel,1557.0,05/03/2018,east
pink morsel,1746.0,05/03/2018,west
pink morsel,1719.0,06/03/2018,north
pink morsel,1719.0,06/03/2018,south
pink morsel,1659.0,06/03/2018,east
pink morsel,1800.0,06/03/2018,west
pink morsel,1581.0,07/03/2018,north
pink morsel,1602.0,07/03/2018,south
pink morsel,1608.0,07/03/2018,east
pink morsel,1650.0,07/03/2018,west
pink morsel,1611.0,08/03/2018,north
pink morsel,1530.0,08/03/2018,south
pink morsel,1698.0,08/03/2018,east
pink morsel,1668.0,08/03/2018,west
pink morsel,1746.0,09/03/2018,north
pink morsel,1524.0,09/03/2018,south
pink morsel,1506.0,09/03/2018,east
pink morsel,1704.0,09/03/2018,west
pink morsel,1788.0,10/03/2018,north
pink morsel,1719.0,10/03/2018,south
pink morsel,1746.0,10/03/2018,east
pink morsel,1584.0,10/03/2018,west
pink morsel,1692.0,11/03/2018,north
pink morsel,1635.0,11/03/2018,south
pink morsel,1608.0,11/03/2018,east
pink morsel,1590.0,11/03/2018,west
pink morsel,1599.0,12/03/2018,north
pink morsel,1518.0,12/03/2018,south
pink morsel,1602.0,12/03/2018,east
pink morsel,1659.0,12/03/2018,west
pink morsel,1644.0,13/03/2018,north
pink morsel,1611.0,13/03/2018,south
pink morsel,1554.0,13/03/2018,east
pink morsel,1515.0,13/03/2018,west
pink morsel,1515.0,14/03/2018,north
pink morsel,1632.0,14/03/2018,south
pink morsel,1512.0,14/03/2018,east
pink morsel,1776.0,14/03/2018,west
pink morsel,1677.0,15/03/2018,north
pink morsel,1503.0,15/03/2018,south
pink morsel,1605.0,15/03/2018,east
pink morsel,1647.0,15/03/2018,west
pink morsel,1506.0,16/03/2018,north
pink morsel,1737.0,16/03/2018,south
pink morsel,1590.0,16/03/2018,east
pink morsel,1767.0,16/03/2018,west
pink morsel,1593.0,17/03/2018,north
pink morsel,1614.0,17/03/2018,south
pink morsel,1710.0,17/03/2018,east
pink morsel,1662.0,17/03/2018,west
pink morsel,1650.0,18/03/2018,north
pink morsel,1755.0,18/03/2018,south
pink morsel,1698.0,18/03/2018,east
pink morsel,1659.0,18/03/2018,west
pink morsel,1683.0,19/03/2018,north
pink morsel,1509.0,19/03/2018,south
pink morsel,1500.0,19/03/2018,east
pink morsel,1545.0,19/03/2018,west
pink morsel,1647.0,20/03/2018,north
pink morsel,1614.0,20/03/2018,south
pink morsel,1629.0,20/03/2018,east
pink morsel,1677.0,20/03/2018,west
pink morsel,1743.0,21/03/2018,north
pink morsel,1569.0,21/03/2018,south
pink morsel,1593.0,21/03/2018,east
pink morsel,1578.0,21/03/2018,west
pink morsel,1578.0,22/03/2018,north
pink morsel,1581.0,22/03/2018,south
pink morsel,1653.0,22/03/2018,east
pink morsel,1578.0,22/03/2018,west
pink morsel,1761.0,23/03/2018,north
pink morsel,1611.0,23/03/2018,south
pink morsel,1749.0,23/03/2018,east
pink morsel,1764.0,23/03/2018,west
pink morsel,1716.0,24/03/2018,north
pink morsel,1710.0,24/03/2018,south
pink morsel,1800.0,24/03/2018,east
pink morsel,1728.0,24/03/2018,west
pink morsel,1743.0,25/03/2018,north
pink morsel,1764.0,25/03/2018,south
pink morsel,1740.0,25/03/2018,east
pink morsel,1707.0,25/03/2018,west
pink morsel,1509.0,26/03/2018,north
pink morsel,1641.0,26/03/2018,south
pink morsel,1533.0,26/03/2018,east
pink morsel,1752.0,26/03/2018,west
pink morsel,1767.0,27/03/2018,north
pink morsel,1590.0,27/03/2018,south
pink morsel,1533.0,27/03/2018,east
pink morsel,1704.0,27/03/2018,west
pink morsel,1671.0,28/03/2018,north
pink morsel,1527.0,28/03/2018,south
pink morsel,1524.0,28/03/2018,east
pink morsel,1629.0,28/03/2018,west
pink morsel,1722.0,29/03/2018,north
pink morsel,1557.0,29/03/2018,south
pink morsel,1686.0,29/03/2018,east
pink morsel,1779.0,29/03/2018,west
pink morsel,1734.0,30/03/2018,north
pink morsel,1776.0,30/03/2018,south
pink morsel,1554.0,30/03/2018,east
pink morsel,1725.0,30/03/2018,west
pink morsel,1617.0,31/03/2018,north
pink morsel,1635.0,31/03/2018,south
pink morsel,1605.0,31/03/2018,east
pink morsel,1785.0,31/03/2018,west
pink morsel,1761.0,01/04/2018,north
pink morsel,1530.0,01/04/2018,south
pink morsel,1710.0,01/04/2018,east
pink morsel,1506.0,01/04/2018,west
pink morsel,1509.0,02/04/2018,north
pink morsel,1797.0,02/04/2018,south
pink morsel,1662.0,02/04/2018,east
pink morsel,1530.0,02/04/2018,west
pink morsel,1767.0,03/04/2018,north
pink morsel,1767.0,03/04/2018,south
pink morsel,1614.0,03/04/2018,east
pink morsel,1533.0,03/04/2018,west
pink morsel,1767.0,04/04/2018,north
pink morsel,1761.0,04/04/2018,south
pink morsel,1566.0,04/04/2018,east
pink morsel,1623.0,04/04/2018,west
pink morsel,1506.0,05/04/2018,north
pink morsel,1512.0,05/04/2018,south
pink morsel,1692.0,05/04/2018,east
pink morsel,1749.0,05/04/2018,west
pink morsel,1701.0,06/04/2018,north
pink morsel,1752.0,06/04/2018,south
pink morsel,1632.0,06/04/2018,east
pink morsel,1515.0,06/04/2018,west
pink morsel,1725.0,07/04/2018,north
pink morsel,1611.0,07/04/2018,south
pink morsel,1788.0,07/04/2018,east
pink morsel,1617.0,07/04/2018,west
pink morsel,1656.0,08/04/2018,north
pink morsel,1674.0,08/04/2018,south
pink morsel,1557.0,08/04/2018,east
pink morsel,1701.0,08/04/2018,west
pink morsel,1686.0,09/04/2018,north
pink morsel,1782.0,09/04/2018,south
pink morsel,1641.0,09/04/2018,east
pink morsel,1557.0,09/04/2018,west
pink morsel,1686.0,10/04/2018,north
pink morsel,1527.0,10/04/2018,south
pink morsel,1698.0,10/04/2018,east
pink morsel,1728.0,10/04/2018,west
pink morsel,1671.0,11/04/2018,north
pink morsel,1527.0,11/04/2018,south
pink morsel,1581.0,11/04/2018,east
pink morsel,1764.0,11/04/2018,west
pink morsel,1653.0,12/04/2018,north
pink morsel,1626.0,12/04/2018,south
pink morsel,1782.0,12/04/2018,east
pink morsel,1749.0,12/04/2018,west
pink morsel,1539.0,13/04/2018,north
pink morsel,1752.0,13/04/2018,south
pink morsel,1674.0,13/04/2018,east
pink morsel,1749.0,13/04/2018,west
pink morsel,1569.0,14/04/2018,north
pink morsel,1794.0,14/04/2018,south
pink morsel,1674.0,14/04/2018,east
pink morsel,1638.0,14/04/2018,west
pink morsel,1515.0,15/04/2018,north
pink morsel,1527.0,15/04/2018,south
pink morsel,1602.0,15/04/2018,east
pink morsel,1653.0,15/04/2018,west
pink morsel,1602.0,16/04/2018,north
pink morsel,1707.0,16/04/2018,south
pink morsel,1548.0,16/04/2018,east
pink morsel,1527.0,16/04/2018,west
pink morsel,1599.0,17/04/2018,north
pink morsel,1728.0,17/04/2018,south
pink morsel,1704.0,17/04/2018,east
pink morsel,1539.0,17/04/2018,west
pink morsel,1545.0,18/04/2018,north
pink morsel,1797.0,18/04/2018,south
pink morsel,1515.0,18/04/2018,east
pink morsel,1719.0,18/04/2018,west
pink morsel,1713.0,19/04/2018,north
pink morsel,1674.0,19/04/2018,south
pink morsel,1767.0,19/04/2018,east
pink morsel,1767.0,19/04/2018,west
pink morsel,1668.0,20/04/2018,north
pink morsel,1620.0,20/04/2018,south
pink morsel,1677.0,20/04/2018,east
pink morsel,1509.0,20/04/2018,west
pink morsel,1683.0,21/04/2018,north
pink morsel,1743.0,21/04/2018,south
pink morsel,1644.0,21/04/2018,east
pink morsel,1578.0,21/04/2018,west
pink morsel,1572.0,22/04/2018,north
pink morsel,1545.0,22/04/2018,south
pink morsel,1557.0,22/04/2018,east
pink morsel,1626.0,22/04/2018,west
pink morsel,1710.0,23/04/2018,north
pink morsel,1659.0,23/04/2018,south
pink morsel,1665.0,23/04/2018,east
pink morsel,1521.0,23/04/2018,west
pink morsel,1503.0,24/04/2018,north
pink morsel,1650.0,24/04/2018,south
pink morsel,1689.0,24/04/2018,east
pink morsel,1743.0,24/04/2018,west
pink morsel,1623.0,25/04/2018,north
pink morsel,1503.0,25/04/2018,south
pink morsel,1758.0,25/04/2018,east
pink morsel,1557.0,25/04/2018,west
pink morsel,1713.0,26/04/2018,north
pink morsel,1734.0,26/04/2018,south
pink morsel,1740.0,26/04/2018,east
pink morsel,1563.0,26/04/2018,west
pink morsel,1716.0,27/04/2018,north
pink morsel,1791.0,27/04/2018,south
pink morsel,1674.0,27/04/2018,east
pink morsel,1716.0,27/04/2018,west
pink morsel,1632.0,28/04/2018,north
pink morsel,1641.0,28/04/2018,south
pink morsel,1584.0,28/04/2018,east
pink morsel,1590.0,28/04/2018,west
pink morsel,1713.0,29/04/2018,north
pink morsel,1593.0,29/04/2018,south
pink morsel,1740.0,29/04/2018,east
pink morsel,1638.0,29/04/2018,west
pink morsel,1653.0,30/04/2018,north
pink morsel,1590.0,30/04/2018,south
pink morsel,1593.0,30/04/2018,east
pink morsel,1602.0,30/04/2018,west
pink morsel,1785.0,01/05/2018,north
pink morsel,1764.0,01/05/2018,south
pink morsel,1506.0,01/05/2018,east
pink morsel,1536.0,01/05/2018,west
pink morsel,1623.0,02/05/2018,north
pink morsel,1674.0,02/05/2018,south
pink morsel,1791.0,02/05/2018,east
pink morsel,1653.0,02/05/2018,west
pink morsel,1785.0,03/05/2018,north
pink morsel,1569.0,03/05/2018,south
pink morsel,1500.0,03/05/2018,east
pink morsel,1770.0,03/05/2018,west
pink morsel,1653.0,04/05/2018,north
pink morsel,1590.0,04/05/2018,south
pink morsel,1671.0,04/05/2018,east
pink morsel,1629.0,04/05/2018,west
pink morsel,1578.0,05/05/2018,north
pink morsel,1665.0,05/05/2018,south
pink morsel,1575.0,05/05/2018,east
pink morsel,1587.0,05/05/2018,west
pink morsel,1674.0,06/05/2018,north
pink morsel,1785.0,06/05/2018,south
pink morsel,1719.0,06/05/2018,east
pink morsel,1617.0,06/05/2018,west
pink morsel,1794.0,07/05/2018,north
pink morsel,1563.0,07/05/2018,south
pink morsel,1728.0,07/05/2018,east
pink morsel,1740.0,07/05/2018,west
pink morsel,1617.0,08/05/2018,north
pink morsel,1650.0,08/05/2018,south
pink morsel,1728.0,08/05/2018,east
pink morsel,1635.0,08/05/2018,west
pink morsel,1584.0,09/05/2018,north
pink morsel,1647.0,09/05/2018,south
pink morsel,1551.0,09/05/2018,east
pink morsel,1512.0,09/05/2018,west
pink morsel,1737.0,10/05/2018,north
pink morsel,1551.0,10/05/2018,south
pink morsel,1515.0,10/05/2018,east
pink morsel,1716.0,10/05/2018,west
pink morsel,1746.0,11/05/2018,north
pink morsel,1677.0,11/05/2018,south
pink morsel,1584.0,11/05/2018,east
pink morsel,1617.0,11/05/2018,west
pink morsel,1743.0,12/05/2018,north
pink morsel,1533.0,12/05/2018,south
pink morsel,1521.0,12/05/2018,east
pink morsel,1578.0,12/05/2018,west
pink morsel,1545.0,13/05/2018,north
pink morsel,1713.0,13/05/2018,south
pink morsel,1665.0,13/05/2018,east
pink morsel,1644.0,13/05/2018,west
pink morsel,1776.0,14/05/2018,north
pink morsel,1560.0,14/05/2018,south
pink morsel,1644.0,14/05/2018,east
pink morsel,1503.0,14/05/2018,west
pink morsel,1800.0,15/05/2018,north
pink morsel,1758.0,15/05/2018,south
pink morsel,1701.0,15/05/2018,east
pink morsel,1671.0,15/05/2018,west
pink morsel,1593.0,16/05/2018,north
pink morsel,1617.0,16/05/2018,south
pink morsel,1626.0,16/05/2018,east
pink morsel,1629.0,16/05/2018,west
pink morsel,1728.0,17/05/2018,north
pink morsel,1506.0,17/05/2018,south
pink morsel,1590.0,17/05/2018,east
pink morsel,1626.0,17/05/2018,west
pink morsel,1782.0,18/05/2018,north
pink morsel,1572.0,18/05/2018,south
pink morsel,1539.0,18/05/2018,east
pink morsel,1509.0,18/05/2018,west
pink morsel,1788.0,19/05/2018,north
pink morsel,1713.0,19/05/2018,south
pink morsel,1626.0,19/05/2018,east
pink morsel,1629.0,19/05/2018,west
pink morsel,1548.0,20/05/2018,north
pink morsel,1716.0,20/05/2018,south
pink morsel,1752.0,20/05/2018,east
pink morsel,1638.0,20/05/2018,west
pink morsel,1575.0,21/05/2018,north
pink morsel,1671.0,21/05/2018,south
pink morsel,1626.0,21/05/2018,east
pink morsel,1572.0,21/05/2018,west
pink morsel,1572.0,22/05/2018,north
pink morsel,1569.0,22/05/2018,south
pink morsel,1581.0,22/05/2018,east
pink morsel,1521.0,22/05/2018,west
pink morsel,1641.0,23/05/2018,north
pink morsel,1692.0,23/05/2018,south
pink morsel,1713.0,23/05/2018,east
pink morsel,1563.0,23/05/2018,west
pink morsel,1524.0,24/05/2018,north
pink morsel,1533.0,24/05/2018,south
pink morsel,1695.0,24/05/2018,east
pink morsel,1533.0,24/05/2018,west
pink morsel,1599.0,25/05/2018,north
pink morsel,1665.0,25/05/2018,south
pink morsel,1713.0,25/05/2018,east
pink morsel,1644.0,25/05/2018,west
pink morsel,1776.0,26/05/2018,north
pink morsel,1530.0,26/05/2018,south
pink morsel,1650.0,26/05/2018,east
pink morsel,1512.0,26/05/2018,west
pink morsel,1629.0,27/05/2018,north
pink morsel,1707.0,27/05/2018,south
pink morsel,1521.0,27/05/2018,east
pink morsel,1761.0,27/05/2018,west
pink morsel,1755.0,28/05/2018,north
pink morsel,1659.0,28/05/2018,south
pink morsel,1800.0,28/05/2018,east
pink morsel,1539.0,28/05/2018,west
pink morsel,1713.0,29/05/2018,north
pink morsel,1752.0,29/05/2018,south
pink morsel,1629.0,29/05/2018,east
pink morsel,1635.0,29/05/2018,west
pink morsel,1674.0,30/05/2018,north
pink morsel,1701.0,30/05/2018,south
pink morsel,1614.0,30/05/2018,east
pink morsel,1794.0,30/05/2018,west
pink morsel,1725.0,31/05/2018,north
pink morsel,1659.0,31/05/2018,south
pink morsel,1536.0,31/05/2018,east
pink morsel,1620.0,31/05/2018,west
pink morsel,1794.0,01/06/2018,north
pink morsel,1623.0,01/06/2018,south
pink morsel,1665.0,01/06/2018,east
pink morsel,1671.0,01/06/2018,west
pink morsel,1752.0,02/06/2018,north
pink morsel,1707.0,02/06/2018,south
pink morsel,1797.0,02/06/2018,east
pink morsel,1668.0,02/06/2018,west
pink morsel,1596.0,03/06/2018,north
pink morsel,1503.0,03/06/2018,south
pink morsel,1578.0,03/06/2018,east
pink morsel,1680.0,03/06/2018,west
pink morsel,1608.0,04/06/2018,north
pink morsel,1683.0,04/06/2018,south
pink morsel,1572.0,04/06/2018,east
pink morsel,1656.0,04/06/2018,west
pink morsel,1713.0,05/06/2018,north
pink morsel,1698.0,05/06/2018,south
pink morsel,1557.0,05/06/2018,east
pink morsel,1782.0,05/06/2018,west
pink morsel,1695.0,06/06/2018,north
pink morsel,1680.0,06/06/2018,south
pink morsel,1761.0,06/06/2018,east
pink morsel,1659.0,06/06/2018,west
pink morsel,1518.0,07/06/2018,north
pink morsel,1572.0,07/06/2018,south
pink morsel,1785.0,07/06/2018,east
pink morsel,1557.0,07/06/2018,west
pink morsel,1719.0,08/06/2018,north
pink morsel,1677.0,08/06/2018,south
pink morsel,1695.0,08/06/2018,east
pink morsel,1602.0,08/06/2018,west
pink morsel,1782.0,09/06/2018,north
pink morsel,1773.0,09/06/2018,south
pink morsel,1656.0,09/06/2018,east
pink morsel,1665.0,09/06/2018,west
pink morsel,1578.0,10/06/2018,north
pink morsel,1641.0,10/06/2018,south
pink morsel,1737.0,10/06/2018,east
pink morsel,1557.0,10/06/2018,west
pink morsel,1788.0,11/06/2018,north
pink morsel,1677.0,11/06/2018,south
pink morsel,1698.0,11/06/2018,east
pink morsel,1728.0,11/06/2018,west
pink morsel,1776.0,12/06/2018,north
pink morsel,1551.0,12/06/2018,south
pink morsel,1548.0,12/06/2018,east
pink morsel,1542.0,12/06/2018,west
pink morsel,1683.0,13/06/2018,north
pink morsel,1683.0,13/06/2018,south
pink morsel,1572.0,13/06/2018,east
pink morsel,1683.0,13/06/2018,west
pink morsel,1761.0,14/06/2018,north
pink morsel,1668.0,14/06/2018,south
pink morsel,1599.0,14/06/2018,east
pink morsel,1593.0,14/06/2018,west
pink morsel,1623.0,15/06/2018,north
pink morsel,1737.0,15/06/2018,south
pink morsel,1593.0,15/06/2018,east
pink morsel,1788.0,15/06/2018,west
pink morsel,1659.0,16/06/2018,north
pink morsel,1641.0,16/06/2018,south
pink morsel,1575.0,16/06/2018,east
pink morsel,1611.0,16/06/2018,west
pink morsel,1599.0,17/06/2018,north
pink morsel,1530.0,17/06/2018,south
pink morsel,1608.0,17/06/2018,east
pink morsel,1626.0,17/06/2018,west
pink morsel,1530.0,18/06/2018,north
pink morsel,1707.0,18/06/2018,south
pink morsel,1611.0,18/06/2018,east
pink morsel,1635.0,18/06/2018,west
pink morsel,1593.0,19/06/2018,north
pink morsel,1749.0,19/06/2018,south
pink morsel,1623.0,19/06/2018,east
pink morsel,1608.0,19/06/2018,west
pink morsel,1665.0,20/06/2018,north
pink morsel,1659.0,20/06/2018,south
pink morsel,1734.0,20/06/2018,east
pink morsel,1557.0,20/06/2018,west
pink morsel,1797.0,21/06/2018,north
pink morsel,1587.0,21/06/2018,south
pink morsel,1557.0,21/06/2018,east
pink morsel,1542.0,21/06/2018,west
pink morsel,1743.0,22/06/2018,north
pink morsel,1797.0,22/06/2018,south
pink morsel,1686.0,22/06/2018,east
pink morsel,1683.0,22/06/2018,west
pink morsel,1791.0,23/06/2018,north
pink morsel,1554.0,23/06/2018,south
pink morsel,1695.0,23/06/2018,east
pink morsel,1566.0,23/06/2018,west
pink morsel,1563.0,24/06/2018,north
pink morsel,1623.0,24/06/2018,south
pink morsel,1530.0,24/06/2018,east
pink morsel,1662.0,24/06/2018,west
pink morsel,1650.0,25/06/2018,north
pink morsel,1602.0,25/06/2018,south
pink morsel,1548.0,25/06/2018,east
pink morsel,1623.0,25/06/2018,west
pink morsel,1728.0,26/06/2018,north
pink morsel,1533.0,26/06/2018,south
pink morsel,1503.0,26/06/2018,east
pink morsel,1629.0,26/06/2018,west
pink morsel,1581.0,27/06/2018,north
pink morsel,1659.0,27/06/2018,south
pink morsel,1707.0,27/06/2018,east
pink morsel,1665.0,27/06/2018,west
pink morsel,1563.0,28/06/2018,north
pink morsel,1638.0,28/06/2018,south
pink morsel,1692.0,28/06/2018,east
pink morsel,1503.0,28/06/2018,west
pink morsel,1686.0,29/06/2018,north
pink morsel,1764.0,29/06/2018,south
pink morsel,1629.0,29/06/2018,east
pink morsel,1779.0,29/06/2018,west
pink morsel,1554.0,30/06/2018,north
pink morsel,1653.0,30/06/2018,south
pink morsel,1515.0,30/06/2018,east
pink morsel,1557.0,30/06/2018,west
pink morsel,1746.0,01/07/2018,north
pink morsel,1671.0,01/07/2018,south
pink morsel,1716.0,01/07/2018,east
pink morsel,1554.0,01/07/2018,west
pink morsel,1695.0,02/07/2018,north
pink morsel,1611.0,02/07/2018,south
pink morsel,1680.0,02/07/2018,east
pink morsel,1671.0,02/07/2018,west
pink morsel,1644.0,03/07/2018,north
pink morsel,1638.0,03/07/2018,south
pink morsel,1623.0,03/07/2018,east
pink morsel,1515.0,03/07/2018,west
pink morsel,1743.0,04/07/2018,north
pink morsel,1587.0,04/07/2018,south
pink morsel,1764.0,04/07/2018,east
pink morsel,1572.0,04/07/2018,west
pink morsel,1752.0,05/07/2018,north
pink morsel,1647.0,05/07/2018,south
pink morsel,1575.0,05/07/2018,east
pink morsel,1500.0,05/07/2018,west
pink morsel,1743.0,06/07/2018,north
pink morsel,1566.0,06/07/2018,south
pink morsel,1758.0,06/07/2018,east
pink morsel,1689.0,06/07/2018,west
pink morsel,1776.0,07/07/2018,north
pink morsel,1770.0,07/07/2018,south
pink morsel,1695.0,07/07/2018,east
pink morsel,1566.0,07/07/2018,west
pink morsel,1623.0,08/07/2018,north
pink morsel,1776.0,08/07/2018,south
pink morsel,1515.0,08/07/2018,east
pink morsel,1761.0,08/07/2018,west
pink morsel,1623.0,09/07/2018,north
pink morsel,1788.0,09/07/2018,south
pink morsel,1542.0,09/07/2018,east
pink morsel,1515.0,09/07/2018,west
pink morsel,1794.0,10/07/2018,north
pink morsel,1794.0,10/07/2018,south
pink morsel,1755.0,10/07/2018,east
pink morsel,1761.0,10/07/2018,west
pink morsel,1605.0,11/07/2018,north
pink morsel,1569.0,11/07/2018,south
pink morsel,1638.0,11/07/2018,east
pink morsel,1677.0,11/07/2018,west
pink morsel,1593.0,12/07/2018,north
pink morsel,1500.0,12/07/2018,south
pink morsel,1539.0,12/07/2018,east
pink morsel,1719.0,12/07/2018,west
pink morsel,1749.0,13/07/2018,north
pink morsel,1596.0,13/07/2018,south
pink morsel,1680.0,13/07/2018,east
pink morsel,1509.0,13/07/2018,west
pink morsel,1500.0,14/07/2018,north
pink morsel,1653.0,14/07/2018,south
pink morsel,1620.0,14/07/2018,east
pink morsel,1575.0,14/07/2018,west
pink morsel,1737.0,15/07/2018,north
pink morsel,1713.0,15/07/2018,south
pink morsel,1698.0,15/07/2018,east
pink morsel,1539.0,15/07/2018,west
pink morsel,1773.0,16/07/2018,north
pink morsel,1707.0,16/07/2018,south
pink morsel,1554.0,16/07/2018,east
pink morsel,1515.0,16/07/2018,west
pink morsel,1551.0,17/07/2018,north
pink morsel,1566.0,17/07/2018,south
pink morsel,1788.0,17/07/2018,east
pink morsel,1614.0,17/07/2018,west
pink morsel,1704.0,18/07/2018,north
pink morsel,1656.0,18/07/2018,south
pink morsel,1530.0,18/07/2018,east
pink morsel,1659.0,18/07/2018,west
pink morsel,1620.0,19/07/2018,north
pink morsel,1725.0,19/07/2018,south
pink morsel,1704.0,19/07/2018,east
pink morsel,1527.0,19/07/2018,west
pink morsel,1731.0,20/07/2018,north
pink morsel,1761.0,20/07/2018,south
pink morsel,1644.0,20/07/2018,east
pink morsel,1653.0,20/07/2018,west
pink morsel,1725.0,21/07/2018,north
pink morsel,1698.0,21/07/2018,south
pink morsel,1662.0,21/07/2018,east
pink morsel,1656.0,21/07/2018,west
pink morsel,1608.0,22/07/2018,north
pink morsel,1773.0,22/07/2018,south
pink morsel,1659.0,22/07/2018,east
pink morsel,1647.0,22/07/2018,west
pink morsel,1638.0,23/07/2018,north
pink morsel,1623.0,23/07/2018,south
pink morsel,1719.0,23/07/2018,east
pink morsel,1629.0,23/07/2018,west
pink morsel,1701.0,24/07/2018,north
pink morsel,1725.0,24/07/2018,south
pink morsel,1752.0,24/07/2018,east
pink morsel,1557.0,24/07/2018,west
pink morsel,1500.0,25/07/2018,north
pink morsel,1707.0,25/07/2018,south
pink morsel,1533.0,25/07/2018,east
pink morsel,1737.0,25/07/2018,west
pink morsel,1605.0,26/07/2018,north
pink morsel,1767.0,26/07/2018,south
pink morsel,1551.0,26/07/2018,east
pink morsel,1521.0,26/07/2018,west
pink morsel,1659.0,27/07/2018,north
pink morsel,1611.0,27/07/2018,south
pink morsel,1695.0,27/07/2018,east
pink morsel,1632.0,27/07/2018,west
pink morsel,1515.0,28/07/2018,north
pink morsel,1584.0,28/07/2018,south
pink morsel,1596.0,28/07/2018,east
pink morsel,1743.0,28/07/2018,west
pink morsel,1791.0,29/07/2018,north
pink morsel,1599.0,29/07/2018,south
pink morsel,1749.0,29/07/2018,east
pink morsel,1755.0,29/07/2018,west
pink morsel,1755.0,30/07/2018,north
pink morsel,1662.0,30/07/2018,south
